id,name,parent_product_id,productAreaID,projectID
100,Sichteinlagen,,1,100
101,"Termingeld, Festgeld",100,1,100
102,Spareinlagen,100,1,100
103,Sparbriefe,,2,200
104,Pfandbriefe,,1,300
105,Zertifikate,,1,300
106,Bausparverträge,,2,400
107,Swaps,,2,400
108,Optionen,,1,200
109,Versicherungen mit Anlagencharakter,,1,400
110,DUMMY,,1,100
111,DUMMY,,2,100
112,DUMMY,,3,200
113,DUMMY,,4,200
114,DUMMY,,5,200
115,DUMMY,,6,300
116,DUMMY,,1,400
117,DUMMY,,2,400
118,DUMMY,,3,500
119,DUMMY,,4,500
120,DUMMY,,5,500
121,DUMMY,,6,500
122,DUMMY,,1,600
123,DUMMY,,2,600
