role,projectid,userid
0,100,74c31a72-7c9e-4095-a1d6-ec208b57ff1a
1,100,8299a81a-8162-4739-8b98-5bc41cf5f44c
2,100,0fef539d-69be-4013-9380-6a12c3534c67
0,200,74c31a72-7c9e-4095-a1d6-ec208b57ff1a
1,200,0fef539d-69be-4013-9380-6a12c3534c67
2,300,2375e026-d348-4fb6-b42b-891a76758d5d
0,300,0fef539d-69be-4013-9380-6a12c3534c67
1,300,74c31a72-7c9e-4095-a1d6-ec208b57ff1a
2,300,eb1dd60e-62ba-4187-8471-ff547183495e
0,400,8299a81a-8162-4739-8b98-5bc41cf5f44c
1,400,eb1dd60e-62ba-4187-8471-ff547183495e
2,500,65119d5f-039e-404e-973e-f12c35fe9fef
1,500,e8406f08-a78d-4531-baa5-c00c70caabbe
0,600,65119d5f-039e-404e-973e-f12c35fe9fef
2,600,e8406f08-a78d-4531-baa5-c00c70caabbe
1,600,74c31a72-7c9e-4095-a1d6-ec208b57ff1a
