role,projectid,userid
0,1,74c31a72-7c9e-4095-a1d6-ec208b57ff1a
1,1,8299a81a-8162-4739-8b98-5bc41cf5f44c
2,1,0fef539d-69be-4013-9380-6a12c3534c67
0,2,74c31a72-7c9e-4095-a1d6-ec208b57ff1a
1,2,0fef539d-69be-4013-9380-6a12c3534c67
2,3,2375e026-d348-4fb6-b42b-891a76758d5d
0,3,0fef539d-69be-4013-9380-6a12c3534c67
1,3,74c31a72-7c9e-4095-a1d6-ec208b57ff1a
2,3,eb1dd60e-62ba-4187-8471-ff547183495e
0,4,8299a81a-8162-4739-8b98-5bc41cf5f44c
1,4,eb1dd60e-62ba-4187-8471-ff547183495e
2,5,65119d5f-039e-404e-973e-f12c35fe9fef
1,5,e8406f08-a78d-4531-baa5-c00c70caabbe
0,6,65119d5f-039e-404e-973e-f12c35fe9fef
2,6,e8406f08-a78d-4531-baa5-c00c70caabbe
1,6,74c31a72-7c9e-4095-a1d6-ec208b57ff1a
